AUTHOR,TITLE,GENRE,NOTES
"Tintera, Amy ",Avenged,YA fantasy,
"Tintera, Amy ",Allied,YA fantasy,
"Tintera, Amy ",Ruined,YA fantasy,
"Tolkien, J. R. R.",The Hobbit,Fantasy,
Tui T Sutherland,Wings of Fire: The Dangerous Gift,J FIC WINGS,
Turtles All the Way Down,The Fault in Our Stars,YA contemporary,
"Twain, Mark ",Adventures of Huckleberry Finn,Classics,
"Tzu, Sun",The Art of War,"Classics, non-fiction",
"Vaynerchuck, Gary",Twelve and Half: Leveraging the Emotional Ingredients Necessary For Business Success,Non-fiction,
"Vlahos, Len",Life in a Fishbowl,YA contemporary,
"Von Ziegesar, Cecily ",Gossip Girl,YA contemporary,
"Walden, Mark ",H.I.V.E. Higher Institute of Villainous Education,"MG fantasy, thriller",
"Walden, Mark ",The Overlord Protocol,"MG fantasy, thriller",
"Wallace, Sarah Neal and Rich",Bound By Ice,YA non-fiction,
"Wang, Jen",The Prince and the Dressmaker,"YA graphic novel, fantasy",
"Wein, Elizabeth ",Code Name Verity,YA historical fiction,
"Welch, Jenna Evan",Love and Gelato,YA Fiction,
"Wells, H.G.",The Island of Dr. Moreau,Classics,
"Westover, Tara",Educated,YA biography,
"Wiesel, Elie",Night,Classics,
"Yang, Kelly",Front Desk,MG contemporary,
"Yoon, Nicola","Everything, Everything",YA contemporary romance,
"Yoon, Nicola",The Sun is Also a Star,YA contemporary romance,
"Yorkey, Mike",Linspired: The Remarkable Rise of Jeremy Lin,"Non-fiction, biography",
"Yoshida, Akimi",Banana Fish Volume 1,YA manga,
"Yousafzai, Malala",I am Malala,YA biography,
"Zhao, Katie",How We Fall Apart,YA mystery,
"Cass, Kiera",A Thousand Heartbeats,YA Fiction,
"Cormier, Robert",The Chocolate War,YA Fiction,
"Said, S. F. ",Tyger,J FIC SAID,
